,DAX PERFORMANCE - TOT RETURN IND,S&P 500 COMPOSITE - TOT RETURN IND,US DOLLAR S/T DEPOSIT (FT/RFV) - MIDDLE RATE,,,,,,,,,
1/1/01,6040.21,1837.36,6.6875,,,,,,,,,
1/8/01,6072.32,1804.04,5.8906,,,,,,,,,
1/15/01,6143.9,1835.53,6,,,,,,,,,
1/22/01,6243.58,1869.89,5.9688,,,,,,,,,
1/29/01,6200.57,1899.75,6.0625,,,,,,,,,
2/5/01,6230.57,1886.48,5.5,,,,,,,,,
2/12/01,6103.9,1853.65,5.4688,,,,,,,,,
2/19/01,5959.28,1814.22,5.5313,,,,,,,,,
2/26/01,5630.18,1767.29,5.5313,,,,,,,,,
3/5/01,5775.11,1731.42,5.6094,,,,,,,,,
3/12/01,5619.24,1646.42,5.4688,,,,,,,,,
3/19/01,5080.96,1633.81,5.5156,,,,,,,,,
3/26/01,5128.54,1608.65,5.0313,,,,,,,,,
4/2/01,5080.54,1599.35,5.3438,,,,,,,,,
4/9/01,5214.85,1588.5,5.0156,,,,,,,,,
4/16/01,5307.5,1647.5,5.0313,,,,,,,,,
4/23/01,5429.56,1710.01,4.3906,,,,,,,,,
4/30/01,5553.63,1745.39,4.6875,,,,,,,,,
5/7/01,5458.02,1765.49,4.4844,,,,,,,,,
5/14/01,5300.15,1746.01,4.4063,,,,,,,,,
5/21/01,5469.74,1836.02,4,,,,,,,,,
5/28/01,5346.8,1787.28,3.8906,,,,,,,,,
6/4/01,5236.56,1772.91,4.0625,,,,,,,,,
6/11/01,5188.27,1755.42,4,,,,,,,,,
6/18/01,5055.06,1691.59,3.9531,,,,,,,,,
6/25/01,5083.83,1705.94,4.0469,,,,,,,,,
7/2/01,5170.09,1731.53,4.0938,,,,,,,,,
7/9/01,4985,1679.4,3.7031,,,,,,,,,
7/16/01,5005.31,1684.77,3.8125,,,,,,,,,
7/23/01,5027,1668.9,3.7344,,,,,,,,,
7/30/01,5069.75,1688.03,3.8281,,,,,,,,,
8/6/01,5058.79,1683.03,3.7344,,,,,,,,,
8/13/01,4900.2,1670.96,3.7656,,,,,,,,,
8/20/01,4751.93,1643.59,3.6719,,,,,,,,,
8/27/01,4916.97,1654.72,3.5469,,,,,,,,,
9/3/01,4617.71,1591.18,3.5781,,,,,,,,,
9/10/01,4200.54,1533.98,3.4688,,,,,,,,,
9/17/01,3893.29,1459,4.0313,,,,,,,,,
9/24/01,3695.73,1409.5,3.2344,,,,,,,,,
10/1/01,3883.12,1459.33,3.25,,,,,,,,,
10/8/01,4131.49,1493.54,2.5,,,,,,,,,
10/15/01,4127.63,1532.52,2.5156,,,,,,,,,
10/22/01,4119.23,1532.55,2.5156,,,,,,,,,
10/29/01,4214.86,1516.39,2.4844,,,,,,,,,
11/5/01,4264.41,1551.39,2.4844,,,,,,,,,
11/12/01,4311.7,1573.82,2.0781,,,,,,,,,
11/19/01,4559.42,1620.66,2.0781,,,,,,,,,
11/26/01,4496.67,1629.76,2.0625,,,,,,,,,
12/3/01,4443.27,1591.48,2.0938,,,,,,,,,
12/10/01,4553.84,1606.23,1.8906,,,,,,,,,
12/17/01,4586.23,1598.74,1.9219,,,,,,,,,
12/24/01,4407.58,1613.6,1.7031,,,,,,,,,
12/31/01,4594.62,1618.98,1.9063,,,,,,,,,
1/7/02,4669.68,1642.95,1.6875,,,,,,,,,
1/14/02,4531.43,1606.2,1.7656,,,,,,,,,
1/21/02,4478.22,1591.08,1.75,,,,,,,,,
1/28/02,4443.67,1598.86,1.8281,,,,,,,,,
2/4/02,4318.46,1544.89,1.8281,,,,,,,,,
2/11/02,4335.91,1570.21,1.7344,,,,,,,,,
2/18/02,4239.8,1559.98,1.8125,,,,,,,,,
2/25/02,4238.32,1567.59,1.7656,,,,,,,,,
3/4/02,4560.57,1631.25,1.7969,,,,,,,,,
3/11/02,4679.79,1652.04,1.7813,,,,,,,,,
3/18/02,4782.07,1648.73,1.7813,,,,,,,,,
3/25/02,4662.47,1601.21,1.75,,,,,,,,,
4/1/02,4747.35,1622.23,1.9531,,,,,,,,,
4/8/02,4533.16,1592.88,1.75,,,,,,,,,
4/15/02,4619.87,1560.92,1.9219,,,,,,,,,
4/22/02,4627.28,1568.52,1.7813,,,,,,,,,
4/29/02,4514.36,1508.75,1.8281,,,,,,,,,
5/6/02,4470.86,1491.05,1.75,,,,,,,,,
5/13/02,4532.65,1522.8,1.7656,,,,,,,,,
5/20/02,4605.96,1548.31,1.7344,,,,,,,,,
