freq,type,rank,date,return
d,crash,1,2020-03-16,-0.12760459618107178
d,crash,2,2020-03-12,-0.09972587261929998
d,crash,3,2008-10-15,-0.09459543726928914
d,crash,4,2008-12-01,-0.09346932333162651
d,crash,5,2008-09-29,-0.09195697268164323
d,boom,1,2008-10-13,0.1095818378001596
d,boom,2,2008-10-28,0.102455313483366
d,boom,3,2025-04-09,0.09090804898604997
d,boom,4,2020-03-24,0.08978196239137723
d,boom,5,2020-03-13,0.08911576516926663
w,crash,1,2008-10-10,-0.2001662068000724
w,crash,2,2020-03-20,-0.16195086336961226
w,crash,3,2001-09-21,-0.12287672417814942
w,crash,4,2020-02-28,-0.12153217404183325
w,crash,5,2000-04-14,-0.11123519141117146
w,boom,1,2020-04-10,0.11462281025820578
w,boom,2,2008-11-28,0.1141492322024267
w,boom,3,2009-03-13,0.10245213127316667
w,boom,4,2008-10-31,0.10009365319297293
w,boom,5,2020-03-27,0.09784644410870015
