freq,asset,type,rank,date,return,mu,sigma,z,p_value
d,stock,crash,1,2020-03-16,-0.12760459618107178,0.0002985558747772856,0.012008126532525218,-10.65138277061043,8.589699617903079e-27
d,stock,crash,2,2020-03-12,-0.09972587261929998,0.0002985558747772856,0.012008126532525218,-8.32972805734109,4.0514132081969565e-17
d,stock,crash,3,2008-10-15,-0.09459543726928914,0.0002985558747772856,0.012008126532525218,-7.902481114521612,1.3670288507875258e-15
d,stock,crash,4,2008-12-01,-0.09346932333162651,0.0002985558747772856,0.012008126532525218,-7.80870179477407,2.889001354450583e-15
d,stock,crash,5,2008-09-29,-0.09195697268164323,0.0002985558747772856,0.012008126532525218,-7.682757864562564,7.784985594544883e-15
d,stock,boom,1,2008-10-13,0.1095818378001596,0.0002985558747772856,0.012008126532525218,9.100777013747946,4.4843925794818273e-20
d,stock,boom,2,2008-10-28,0.102455313483366,0.0002985558747772856,0.012008126532525218,8.507301895252926,8.901377636887232e-18
d,stock,boom,3,2025-04-09,0.09090804898604997,0.0002985558747772856,0.012008126532525218,7.545681074049958,2.2496494346665473e-14
d,stock,boom,4,2020-03-24,0.08978196239137723,0.0002985558747772856,0.012008126532525218,7.4519040313428695,4.600132159679222e-14
d,stock,boom,5,2020-03-13,0.08911576516926663,0.0002985558747772856,0.012008126532525218,7.39642516706657,6.994979241742712e-14
d,gbond,crash,1,2020-03-16,-0.016880655878833535,0.00012859286524897234,0.0025104288936311204,-6.775435379681313,6.20160859619806e-12
d,gbond,crash,2,2008-09-18,-0.01671511126792295,0.00012859286524897234,0.0025104288936311204,-6.709492619330455,9.765114825072368e-12
d,gbond,crash,3,2020-03-09,-0.01416571408027839,0.00012859286524897234,0.0025104288936311204,-5.6939700549940175,6.20594311806008e-09
d,gbond,crash,4,2022-06-10,-0.01157093059152118,0.00012859286524897234,0.0025104288936311204,-4.660368388226998,1.5782196934533225e-06
d,gbond,crash,5,2022-03-01,-0.011456832175105838,0.00012859286524897234,0.0025104288936311204,-4.614918617988612,1.9662468980975634e-06
d,gbond,boom,1,2020-03-19,0.017885974731120774,0.00012859286524897234,0.0025104288936311204,7.073445462216326,7.556666868385784e-13
d,gbond,boom,2,2009-03-17,0.01742636046105858,0.00012859286524897234,0.0025104288936311204,6.890363491152249,2.7825003052560854e-12
d,gbond,boom,3,2020-03-13,0.015490231121163876,0.00012859286524897234,0.0025104288936311204,6.119129004166141,4.704410617396558e-10
