freq,asset,series,k,T,q_stat,p_value,reject
d,stock,r,10,6760,97.01256832390742,2.155309503590795e-16,True
d,stock,r2,10,6760,6025.087056414471,0.0,True
d,gbond,r,10,6759,35.527028510706955,0.00010146960557236977,True
d,gbond,r2,10,6759,2012.8844708573258,0.0,True
d,cbond,r,10,6760,3181.3678539073385,0.0,True
d,cbond,r2,10,6760,4143.697003150785,0.0,True
d,resec,r,10,6760,175.63105918629014,1.889207667941316e-32,True
d,resec,r2,10,6760,7769.1743473777615,0.0,True
d,commo,r,10,6760,13.860737441352141,0.17943910461395896,False
d,commo,r2,10,6760,1845.5090970028705,0.0,True
d,usdfx,r,10,6760,21.19057737448664,0.019803161642700722,True
d,usdfx,r2,10,6760,1438.4600555795298,4.9209210646978444e-303,True
w,stock,r,10,1352,26.356492557323637,0.0032891810148398277,True
w,stock,r2,10,1352,386.6942664661771,6.3764317871510536e-77,True
w,gbond,r,10,1352,21.31324372460509,0.01901214347959658,True
w,gbond,r2,10,1352,117.2927308941426,1.790936839373697e-20,True
w,cbond,r,10,1352,191.3113301857975,1.0429253435970604e-35,True
w,cbond,r2,10,1352,340.9519691123373,3.310639502856785e-67,True
w,resec,r,10,1352,35.68970280404031,9.516035220225021e-05,True
w,resec,r2,10,1352,1085.6960394025682,6.394525557843033e-227,True
w,commo,r,10,1352,29.251188445255764,0.0011345280362228716,True
w,commo,r2,10,1352,394.39109770553165,1.46991560987548e-78,True
w,usdfx,r,10,1352,10.700963810907139,0.3812852757813317,False
w,usdfx,r2,10,1352,303.10167576889404,3.434531224360178e-59,True
