asset,solver,use_logspace,converged,n_iter,log_lik,omega,alpha,beta,persistence,se_omega,se_alpha,se_beta,aic,bic,time
stock,nelder-mead,False,True,281,20907.886603592415,2.458968522483839e-06,0.12042868057212774,0.8613291804427287,0.9817578610148564,,,,-41809.77320718483,-41789.44192853626,0.018083292001392692
stock,slsqp,False,True,28,20907.88660359214,2.4589657839556977e-06,0.12042864339065634,0.8613292279385476,0.9817578713292039,,,,-41809.77320718428,-41789.44192853571,0.005022083001676947
stock,trust-constr,False,False,5000,13409.534898979422,0.0015083372878343206,0.2935011815385677,0.35418210764738656,0.6476832891859543,,,,-26813.069797958844,-26792.73851931028,1.5479155000066385
stock,nelder-mead,True,True,278,20907.886603592553,2.458965826141921e-06,0.12042862308583753,0.8613292312416237,0.9817578543274613,,,,-41809.773207185106,-41789.44192853654,0.02157575002638623
stock,slsqp,True,True,22,20907.886603592364,2.4589659898372585e-06,0.12042865014785976,0.8613292203975025,0.9817578705453622,,,,-41809.77320718473,-41789.44192853616,0.0019192500039935112
stock,trust-constr,True,False,11,20907.886603592233,2.4589660784674606e-06,0.12042865055423632,0.8613292187174907,0.981757869271727,,,,-41809.773207184466,-41789.441928535896,0.01536158297676593
stock,trust-exact,True,False,11,20907.886603592233,2.4589660784674606e-06,0.12042865055423632,0.8613292187174907,0.981757869271727,,,,-41809.773207184466,-41789.441928535896,0.013853332959115505
cbond,nelder-mead,False,True,398,32398.313904794835,8.702586082557699e-08,0.25913326216790455,0.7679108716799247,1.0270441338478293,,,,-64790.62780958967,-64770.2965309411,0.025472250010352582
cbond,slsqp,False,True,33,32391.623113020323,1.032509705104567e-07,0.22816804732990995,0.7718319426700898,0.9999999899999997,,,,-64777.24622604065,-64756.91494739208,0.004464124969672412
cbond,trust-constr,False,True,91,32391.623099858298,1.0325102860631394e-07,0.22816800007905366,0.7718319648851244,0.9999999649641781,,,,-64777.246199716596,-64756.914921068026,0.05074958299519494
cbond,nelder-mead,True,True,323,32391.62311827799,1.0325094206701806e-07,0.22816790592318364,0.7718320940765284,0.999999999999712,,,,-64777.24623655598,-64756.91495790741,0.022659917012788355
cbond,slsqp,True,True,55,32391.623118277945,1.0325094429693195e-07,0.22816795380705612,0.7718320461928306,0.9999999999998868,,,,-64777.24623655589,-64756.91495790732,0.004623415996320546
cbond,trust-constr,True,False,5000,32391.62299874769,1.0325105315451935e-07,0.2281676730777139,0.7718320995634139,0.9999997726411278,,,,-64777.24599749538,-64756.91471884681,6.6972581669688225
cbond,trust-exact,True,False,5000,32391.62299874769,1.0325105315451935e-07,0.2281676730777139,0.7718320995634139,0.9999997726411278,,,,-64777.24599749538,-64756.91471884681,5.153716667031404
