asset,solver,use_logspace,converged,n_iter,loglik,alpha_plus_beta,omega,alpha,beta,se_omega,se_alpha,se_beta,time
stock,nelder-mead,False,True,145,20907.886603592233,0.9817578666354215,2.458966321027181e-06,0.12042865415184026,0.8613292124835813,2.964720883076612e-07,0.008646164835937303,0.009130667935137955,0.42930391686968505
stock,slsqp,False,True,53,20907.886603592233,0.981757870685642,2.4589659847274467e-06,0.12042865047103242,0.8613292202146096,2.964720504222954e-07,0.008646164661467167,0.009130667363711664,0.9497548330109566
stock,nelder-mead,True,True,191,20907.886603592233,0.9817578739433848,2.4589657498041725e-06,0.12042864838621498,0.8613292255571697,2.9647202482074786e-07,0.008646164624919845,0.009130666990082602,0.09559370810166001
stock,trust-exact,True,False,10,20907.886603592233,0.9817578706312702,2.458965984842921e-06,0.12042865025751451,0.8613292203737557,2.9647205049915094e-07,0.008646164642099717,0.009130667354153863,0.8054248329717666
stock,slsqp,True,True,21,20907.88660359223,0.9817578638808607,2.458965991139102e-06,0.120428639857997,0.8613292240228637,2.9647204094740555e-07,0.008646163150133635,0.009130666843634859,0.4158597500063479
stock,trust-constr,True,True,13,20907.88660359223,0.9817578704672777,2.4589659904415407e-06,0.1204286501836533,0.8613292202836244,2.964720509633862e-07,0.008646164624307423,0.009130667356821024,0.8472895419690758
stock,trust-constr,False,True,31,20907.886484586237,0.9817050768526433,2.4632104884753014e-06,0.12048203087768465,0.8612230459749587,2.9693721663037e-07,0.008648540639383492,0.0091381580668348,1.4345092088915408
cbond,nelder-mead,False,True,151,32398.313904794268,1.0270441482735484,8.702589283826288e-08,0.25913328722076584,0.7679108610527826,9.662818475328984e-09,0.015278835891137212,0.01110831274482022,0.06864191708154976
cbond,nelder-mead,True,True,303,32391.623118277756,0.9999999999999853,1.0325095828097563e-07,0.2281679633458451,0.7718320366541402,1.0852098204754773e-08,0.012344863560501611,0.010942960751895743,0.11761295795440674
cbond,slsqp,True,True,57,32391.623118277756,0.9999999999999956,1.0325094514907044e-07,0.22816795464713824,0.7718320453528573,1.0852096648980725e-08,0.01234486280150118,0.010942960103542732,1.0232436249498278
cbond,trust-exact,True,True,32,32391.623118277632,0.9999999999997702,1.0325094501023637e-07,0.22816795451023014,0.77183204548954,1.0852096634070181e-08,0.012344862792690774,0.010942960096074913,2.3932496251072735
cbond,slsqp,False,True,31,32391.62311302044,0.99999999,1.0325095320478331e-07,0.22816794584250813,0.7718320441574918,1.0852097291390014e-08,0.012344861944711622,0.010942960208421061,0.5901460410095751
cbond,trust-constr,True,True,36,32391.623105178154,0.9999999750831167,1.0325095156339184e-07,0.2281679173017317,0.771832057781385,1.0852096851693004e-08,0.012344859769489005,0.010942959604099259,2.759781542001292
cbond,trust-constr,False,True,29,32391.614724822743,0.9999840418125945,1.0327624023207403e-07,0.22816741224083736,0.7718166295717571,1.0854413321197997e-08,0.012344303812759805,0.01094381330814386,1.4470726251602173
