asset,dist,dgt_chi2,dgt_df,dgt_p,dgt_reject,lb_moment,lb_q,lb_p,lb_reject
stock,normal,291.1758173966688,39.0,2.54369173393362e-40,True,,,,
stock,normal,,,,,1.0,26.91125897600447,0.00268985431951026,True
stock,normal,,,,,2.0,50.09116598311098,2.567995183562189e-07,True
stock,normal,,,,,3.0,29.04646740832033,0.0012246424600260465,True
stock,normal,,,,,4.0,43.05810657926719,4.855461037923221e-06,True
cbond,normal,396.2837754472548,39.0,1.1005121638197508e-60,True,,,,
cbond,normal,,,,,1.0,102.44446948418665,1.7646394020105077e-17,True
cbond,normal,,,,,2.0,21.319247904287973,0.018974197005224135,True
cbond,normal,,,,,3.0,84.37836820313434,6.921460350886962e-14,True
cbond,normal,,,,,4.0,20.88284202549235,0.021925491938660103,True
