asset,dist,dgt_chi2,dgt_df,dgt_p,dgt_reject,lb_moment,lb_q,lb_p,lb_reject
stock,skewt,166.04318322023443,39.0,1.3001294495437838e-17,True,,,,
stock,skewt,,,,,1.0,25.66996992339221,0.004210353217345301,True
stock,skewt,,,,,2.0,41.22527810828525,1.0293543341343141e-05,True
stock,skewt,,,,,3.0,29.30944657065251,0.001110084385149103,True
stock,skewt,,,,,4.0,36.77491010944154,6.189787688200305e-05,True
cbond,skewt,93.68044417026528,39.0,2.1399964283497014e-06,True,,,,
cbond,skewt,,,,,1.0,96.22399878761007,3.0965086163238455e-16,True
cbond,skewt,,,,,2.0,30.17197752483389,0.0008028702352851578,True
cbond,skewt,,,,,3.0,95.86460591149917,3.652194434439165e-16,True
cbond,skewt,,,,,4.0,34.029824419353105,0.00018256192552273506,True
