date,sigma2,sigma
2000-01-04,5.822236073393375e-06,0.0024129310129784843
2000-01-05,4.7243591379683725e-06,0.0021735590946575095
2000-01-06,4.1007358960021525e-06,0.0020250273815438035
2000-01-07,3.5261705144426266e-06,0.0018778100315108093
2000-01-10,2.8559487322027376e-06,0.0016899552456212377
2000-01-11,2.3457032297132534e-06,0.00153156887854032
2000-01-12,3.627320759053959e-06,0.0019045526401372998
2000-01-13,2.9171115216130187e-06,0.0017079553628865768
2000-01-14,2.7078036737623655e-06,0.0016455405415128385
2000-01-18,2.241553584152549e-06,0.0014971818807855474
2000-01-19,1.9866924583000834e-06,0.0014095007833627065
2000-01-20,1.6370146333339084e-06,0.001279458726702002
2000-01-21,1.4734089732473696e-06,0.0012138405880705134
2000-01-24,1.2631231537910367e-06,0.0011238875183002242
2000-01-25,1.8469404374781356e-06,0.0013590218679175607
2000-01-26,1.5634699112439721e-06,0.0012503879043096874
2000-01-27,1.3190300103249839e-06,0.0011484903179065046
2000-01-28,1.1397099058110797e-06,0.0010675719675090197
2000-01-31,1.1371184398227552e-06,0.0010663575572118177
2000-02-01,1.0842254054637663e-06,0.001041261449139344
2000-02-02,1.0957169291905151e-06,0.001046764982787691
2000-02-03,9.55102653092289e-07,0.0009772935347643968
2000-02-04,2.7911432855135095e-06,0.001670671507362686
2000-02-07,2.4282490977194376e-06,0.0015582840234435562
2000-02-08,1.9879660793357763e-06,0.0014099525096029923
2000-02-09,1.895356414339722e-06,0.0013767194392248995
2000-02-10,1.967329596270267e-06,0.0014026152702256835
2000-02-11,1.6237659202385968e-06,0.001274270740556573
2000-02-14,1.4665590350914332e-06,0.0012110157038995957
2000-02-15,1.264038326802355e-06,0.0011242945907556235
2000-02-16,1.1355841693017998e-06,0.0010656379166029144
2000-02-17,9.835018966382568e-07,0.0009917166413034807
2000-02-18,1.0445537269090995e-06,0.0010220341123999236
2000-02-22,1.2030200474613049e-06,0.0010968227055733778
2000-02-23,1.6595933247422654e-06,0.001288252042397863
2000-02-24,2.1644638682716477e-06,0.0014712117006983215
2000-02-25,1.7739217190068707e-06,0.0013318865263252987
2000-02-28,1.476298153179752e-06,0.0012150301038162602
2000-02-29,1.2519719293147303e-06,0.0011189155148243902
2000-03-01,1.0764123400571604e-06,0.001037502934963155
2000-03-02,9.35989235872912e-07,0.0009674653667563052
2000-03-03,8.33204658065352e-07,0.0009128004481075543
2000-03-06,1.18246641282647e-06,0.0010874127150380713
2000-03-07,1.0728854665806783e-06,0.0010358018471602946
2000-03-08,1.2597959945394927e-06,0.0011224063410991104
2000-03-09,1.0804485273744674e-06,0.0010394462599742553
2000-03-10,9.495470953071938e-07,0.0009744470715781303
2000-03-13,1.2490446996557116e-06,0.0011176066837916242
2000-03-14,1.114171773415626e-06,0.0010555433545883495
2000-03-15,9.653435307047874e-07,0.000982518972185671
2000-03-16,2.717240198828577e-06,0.0016484053502790438
2000-03-17,2.2318832213264607e-06,0.001493948868377516
2000-03-20,1.8486206548307546e-06,0.0013596398989551442
2000-03-21,1.5661561676768815e-06,0.0012514616125462584
2000-03-22,1.4298027204981498e-06,0.0011957435847614445
2000-03-23,1.6105887279756364e-06,0.0012690897241628097
2000-03-24,1.4744074559436913e-06,0.001214251809116911
2000-03-27,2.088810619471029e-06,0.001445271815082211
2000-03-28,1.7711578223307882e-06,0.0013308485347066315
2000-03-29,1.6051433249214885e-06,0.001266942510503728
2000-03-30,2.1050570917242973e-06,0.0014508814878287947
2000-03-31,1.7437414964290674e-06,0.0013205080448180039
2000-04-03,1.75376765865978e-06,0.0013242989310045447
2000-04-04,1.749541222900937e-06,0.0013227022427216705
2000-04-05,1.6483986442245077e-06,0.0012838997796652618
2000-04-06,2.1546277056134116e-06,0.0014678650161419515
2000-04-07,4.133175629224984e-06,0.002033021305649546
2000-04-10,3.3072039395236094e-06,0.0018185719506039924
2000-04-11,3.1801964268736726e-06,0.0017833105245227687
2000-04-12,3.073594027007144e-06,0.0017531668565790148
2000-04-13,2.587852622080125e-06,0.0016086803977422382
2000-04-14,2.1036657142885865e-06,0.0014504019147424574
2000-04-17,1.7340113781723077e-06,0.0013168186580438128
2000-04-18,2.7141035305171122e-06,0.0016474536504913005
2000-04-19,2.8283308866697355e-06,0.0016817642185127306
2000-04-20,2.6544013799976743e-06,0.0016292333718647167
2000-04-24,2.2449217109059797e-06,0.0014983062807403498
2000-04-25,1.8685476299747338e-06,0.001366948290892795
2000-04-26,2.2225972244268455e-06,0.0014908377592571386
2000-04-27,2.2076554077301447e-06,0.0014858180937551355
2000-04-28,1.8709444999100762e-06,0.0013678247328916364
2000-05-01,1.7664843856930518e-06,0.001329091564074143
2000-05-02,1.471192982251462e-06,0.0012129274431108656
2000-05-03,2.6902017624235837e-06,0.00164018345389276
2000-05-04,2.4232808545106075e-06,0.001556689068025663
2000-05-05,2.365573531662992e-06,0.0015380421098471237
