date,sigma2,sigma
2000-01-04,5.822236073393375e-06,0.0024129310129784843
2000-01-05,4.830869128444519e-06,0.0021979238222569314
2000-01-06,4.2372637285405466e-06,0.002058461495520513
2000-01-07,3.680971193012921e-06,0.0019185857273035577
2000-01-10,3.036431653307263e-06,0.0017425359833608209
2000-01-11,2.5281324779025877e-06,0.001590010213144113
2000-01-12,3.6034657079212573e-06,0.0018982796706284502
2000-01-13,2.959612189010825e-06,0.0017203523444372741
2000-01-14,2.7451763336569062e-06,0.0016568573667207767
2000-01-18,2.3046352307968963e-06,0.0015181025099764826
2000-01-19,2.0457784657742555e-06,0.0014303071228845418
2000-01-20,1.7039086658982965e-06,0.0013053385254018577
2000-01-21,1.524953586808175e-06,0.0012348901112277865
2000-01-24,1.3078287635462624e-06,0.0011436034118287085
2000-01-25,1.7940785364135274e-06,0.0013394321693962436
2000-01-26,1.5333168160854707e-06,0.0012382717052753288
2000-01-27,1.3024780915693203e-06,0.001141261622753223
2000-01-28,1.1264624932171608e-06,0.0010613493737771558
2000-01-31,1.1060102438200874e-06,0.0010516702162845953
2000-02-01,1.0446934638643364e-06,0.0010221024722914707
2000-02-02,1.04199236760611e-06,0.001020780273911144
2000-02-03,9.076908933615975e-07,0.000952728131925156
2000-02-04,2.5194990486754754e-06,0.001587292993960307
2000-02-07,2.232655125127501e-06,0.0014942071894913037
2000-02-08,1.8620590966463128e-06,0.0013645728623442256
2000-02-09,1.784753715222112e-06,0.0013359467486476068
2000-02-10,1.8498543087029075e-06,0.0013600934926331011
2000-02-11,1.5490023414541598e-06,0.0012445892259915156
2000-02-14,1.4042765457239351e-06,0.0011850217490510186
2000-02-15,1.2169753770008537e-06,0.0011031660695474883
2000-02-16,1.092079935023114e-06,0.0010450262843694957
2000-02-17,9.455791761411235e-07,0.0009724089551938133
2000-02-18,9.863652918429883e-07,0.0009931592479773767
2000-02-22,1.1173544606649544e-06,0.0010570498856085054
2000-02-23,1.517415437702899e-06,0.001231834176219713
2000-02-24,1.971570440464681e-06,0.001404126219563142
2000-02-25,1.6444010927476697e-06,0.0012823420342278691
2000-02-28,1.3865901913138707e-06,0.001177535643330541
2000-02-29,1.1855445157715582e-06,0.0010888271285064302
2000-03-01,1.0229132549577708e-06,0.0010113917415906512
2000-03-02,8.887352961740089e-07,0.0009427275832254028
2000-03-03,7.865704903845757e-07,0.0008868880934957779
2000-03-06,1.0838941946134922e-06,0.0010411023939140146
2000-03-07,9.860724004008598e-07,0.00099301178260928
2000-03-08,1.1479802030363916e-06,0.0010714383804197008
2000-03-09,9.911553734169784e-07,0.0009955678647972615
2000-03-10,8.726144254610879e-07,0.0009341383331504429
2000-03-13,1.132057421938417e-06,0.0010639818710572173
2000-03-14,1.0155916372253547e-06,0.0010077656658297874
2000-03-15,8.830764209183428e-07,0.0009397214592198812
2000-03-16,2.427530874740931e-06,0.0015580535532326643
2000-03-17,2.0360723665740776e-06,0.0014269100765549585
2000-03-20,1.7159267076574453e-06,0.0013099338562146737
2000-03-21,1.4721566649189028e-06,0.0012133246329482077
