date,sigma2,sigma
2000-01-04,5.822236073393375e-06,0.0024129310129784843
2000-01-05,4.832162346222333e-06,0.0021982179933351317
2000-01-06,4.2389588213167226e-06,0.002058873192140964
2000-01-07,3.6829280302370762e-06,0.001919095628215821
2000-01-10,3.038737472833754e-06,0.0017431974853222322
2000-01-11,2.530500892801203e-06,0.0015907548185692235
2000-01-12,3.6033723367338292e-06,0.0018982550768360477
2000-01-13,2.960279585915438e-06,0.0017205463044961732
2000-01-14,2.745770184082382e-06,0.0016570365669116604
2000-01-18,2.3055289587566867e-06,0.0015183968383649534
2000-01-19,2.0466235021375445e-06,0.0014306024962013539
2000-01-20,1.7048464729519153e-06,0.0013056976958514997
2000-01-21,1.5257070763025253e-06,0.001235195157172552
2000-01-24,1.3084955882066594e-06,0.001143894920089542
2000-01-25,1.7935605373059743e-06,0.0013392387902483912
2000-01-26,1.533037427811057e-06,0.0012381588863352947
2000-01-27,1.3023417936324406e-06,0.0011412019074784447
2000-01-28,1.126353508770824e-06,0.0010612980301361271
2000-01-31,1.105676331667633e-06,0.0010515114510397084
2000-02-01,1.0442447340918139e-06,0.0010218829356104416
2000-02-02,1.04135897166706e-06,0.001020469975877321
2000-02-03,9.071187477854585e-07,0.0009524278176247576
2000-02-04,2.5162063537305284e-06,0.0015862554503391086
2000-02-07,2.230201207970651e-06,0.0014933858201987358
2000-02-08,1.8604078699842934e-06,0.001363967693893185
2000-02-09,1.7832783383935204e-06,0.0013353944504877653
2000-02-10,1.8482934995992616e-06,0.0013595195841175887
2000-02-11,1.5479537349040484e-06,0.0012441678885520427
2000-02-14,1.4033893556452343e-06,0.0011846473549732993
2000-02-15,1.2162846200422382e-06,0.0011028529457920663
2000-02-16,1.0914470668428184e-06,0.001044723440362481
2000-02-17,9.450268026175161e-07,0.0009721248904423321
2000-02-18,9.855801470687962e-07,0.0009927638929115
2000-02-22,1.1162403532232562e-06,0.0010565227651230503
2000-02-23,1.5156118510833299e-06,0.0012311018849320838
2000-02-24,1.969130439358127e-06,0.001403257082418659
2000-02-25,1.6426920933978384e-06,0.0012816755023787568
2000-02-28,1.3853549645566241e-06,0.0011770110299213954
2000-02-29,1.1845976099263218e-06,0.0010883922132789822
